Species,0
Klebsiella pneumoniae,5.335589923886821
Klebsiella spp,3.2634032634032635
Providencia spp,1.8791946308724832
Providencia rettgeri,1.4710180224062348
Providencia stuartii,1.2883700821444013
Enterobacter hormaechi,1.25851266684827
Proteus mirabilis,0.8299557848194548
Citrobacter farmeri,0.784313725490196
Escherichia coli,0.7535868062727402
Raoultella planticola,0.6666666666666667
Enterobacter xiangfangensis,0.6382978723404256
Enterobacter spp,0.6284340659340659
Citrobacter spp,0.6234413965087282
Citrobacter sedlakii,0.6185567010309277
Citrobacter freundii,0.5307131089668158
Enterobacter roggenkampii,0.5263157894736842
Serratia spp,0.4842342342342342
Raoultella ornithinolytica,0.45662100456620996
Klebsiella variicola,0.45031522065445817
Citrobacter amalonaticus,0.4186046511627907
Escherichia spp,0.39473684210526316
Klebsiella oxytoca,0.3825876662636034
Acinetobacter baumannii,0.3079247295105641
Enterobacter cloacae,0.268417308065455
Pseudomonas aeruginosa,0.24117713091609314
Enterobacter asburiae,0.22259554808903825
Enterobacter bugandensis,0.2104208416833667
Serratia marcescens,0.15602055800293685
Enterobacter kobei,0.1533219761499148
Citrobacter braakii,0.13623978201634876
"Enterobacter, non-speciated",0.11553273427471118
Morganella morganii,0.08925958443078723
Klebsiella aerogenes,0.0811670505648788
Serratia liquefaciens,0.05347593582887701
Citrobacter koseri,0.05292441308182928
Enterobacter agglomerans,0.05089058524173028
"Klebsiella, non-speciated",0.046728971962616814
Proteus vulgaris,0.012515644555694618
Clostridium perfringens,0.00728862973760933
Staphylococcus aureus,5.7842587183239524e-05
Streptococcus sanguinis,0.0
Streptococcus pyogenes,0.0
Peptostreptococcus magnus,0.0
Streptococcus sanguis,0.0
Pluralibacter gergoviae,0.0
Peptostreptococcus spp,0.0
Peptostreptococcus tetradius,0.0
Phocaeicola vulgatus,0.0
Streptococcus salivarius,0.0
Phocaeicola spp,0.0
Prevotella amnii,0.0
Phocaeicola massiliensis,0.0
Streptococcus constellatus,0.0
Prevotella buccae,0.0
Prevotella baroniae,0.0
Prevotella bergensis,0.0
Prevotella pallens,0.0
Prevotella oulorum,0.0
Prevotella oris,0.0
Prevotella oralis,0.0
Prevotella nigrescens,0.0
Prevotella nanceinsis,0.0
Prevotella multiformis,0.0
Prevotella melaninogenica,0.0
Prevotella maculosa,0.0
Prevotella loescheii,0.0
Prevotella jejunii,0.0
Prevotella intermedia,0.0
Prevotella histicola,0.0
Prevotella heparinolytica,0.0
Prevotella disiens,0.0
Prevotella denticola,0.0
Prevotella corporis,0.0
Prevotella buccalis,0.0
Prevotella bivia,0.0
Streptococcus spp,0.0
Peptostreptococcus hydrogenalis,0.0
Peptostreptococcus lactolyticus,0.0
Peptostreptococcus indolicus,0.0
Pantoea septica,0.0
Pantoea dispersa,0.0
Pantoea agglomerans,0.0
Paeniclostridium spp,0.0
Paeniclostridium sordelli,0.0
Ochrobactrum anthropi,0.0
Neisseria gonorrhoeae,0.0
Myroides odoratimimus,0.0
Morganella spp,0.0
Moraxella spp,0.0
Moraxella osloensis,0.0
Moraxella catarrhalis,0.0
Mixta calida,0.0
Lelliottia amnigena,0.0
Lancefieldella parvula,0.0
Lactobacillus casei,0.0
"Streptococcus, viridans group",0.0
Kluyvera ascorbata,0.0
Tissierella praeacuta,0.0
Pantoea spp,0.0
"Streptococcus, Beta Hemolytic",0.0
Parabacteroides distasonis,0.0
Peptoniphilus gorbachii,0.0
Prevotella spp,0.0
Peptostreptococcus anaerobius,0.0
Peptoniphilus spp,0.0
Peptoniphilus olsenii,0.0
Peptoniphilus lacrimalis,0.0
Peptoniphilus indolicus,0.0
Peptoniphilus harei,0.0
Peptoniphilus grossensis,0.0
Peptoniphilus coxii,0.0
Parabacteroides goldsteinii,0.0
Peptoniphilus asaccharolyticus,0.0
Parvimonas spp,0.0
Parvimonas micra,0.0
Paraclostridium spp,0.0
Paraclostridium bifermentans,0.0
Parabacteroides spp,0.0
Parabacteroides johnsonii,0.0
Streptococcus suis,0.0
Prevotella salivae,0.0
Proteus hauseri,0.0
Prevotella tannerae,0.0
Staphylococcus lugdunensis,0.0
Staphylococcus hyicus,0.0
Staphylococcus hominis,0.0
Staphylococcus haemolyticus,0.0
Staphylococcus epidermidis,0.0
Staphylococcus condimenti,0.0
Staphylococcus cohnii,0.0
Staphylococcus caprae,0.0
Staphylococcus capitis,0.0
Staphylococcus auricularis,0.0
Staphylococcus arlettae,0.0
Staphylococcus argenteus,0.0
Staphylococcus Coagulase Negative,0.0
Slackia exigua,0.0
"Serratia, non-speciated",0.0
Serratia ureilytica,0.0
Streptococcus dysgalactiae,0.0
Serratia rubidaea,0.0
Serratia plymuthica,0.0
Serratia odorifera,0.0
Staphylococcus intermedius,0.0
Staphylococcus pasteuri,0.0
Prevotella timonensis,0.0
Staphylococcus petrasii,0.0
Streptococcus canis,0.0
Streptococcus bovis,0.0
Streptococcus anginosus,0.0
Streptococcus agalactiae,0.0
Streptococcus Alpha Hemolytic,0.0
Stenotrophomonas spp,0.0
Stenotrophomonas maltophilia,0.0
Staphylococcus xylosus,0.0
Staphylococcus warneri,0.0
Staphylococcus vitulinus,0.0
Staphylococcus ureilyticus,0.0
Staphylococcus spp,0.0
Staphylococcus simulans,0.0
Staphylococcus sciuri,0.0
Staphylococcus schleiferi,0.0
Staphylococcus saprophyticus,0.0
Staphylococcus saccharolyticus,0.0
Staphylococcus pseudointermedius,0.0
Staphylococcus pettenkoferi,0.0
Serratia nematodiphila,0.0
Serratia grimesii,0.0
Serratia fonticola,0.0
Serratia ficaria,0.0
Pseudomonas graminis,0.0
Pseudomonas fulva,0.0
Pseudomonas fluorescens,0.0
Pseudomonas citronellolis,0.0
Pseudomonas alcaliphila,0.0
Pseudomonas alcaligenes,0.0
Streptococcus mitis_oralis,0.0
"Providencia, non-speciated",0.0
Streptococcus oralis,0.0
Streptococcus parasanguinis,0.0
Providencia rustigianii,0.0
Streptococcus peroris,0.0
Providencia alcalifaciens,0.0
Proteus spp,0.0
Proteus rettgeri,0.0
Proteus penneri,0.0
Streptococcus pneumoniae,0.0
Streptococcus castoreus,0.0
Prevotella veroralis,0.0
Pseudomonas guariconensis,0.0
Pseudomonas mendocina,0.0
Pseudomonas monteilii,0.0
Pseudomonas putida/fluorescens Group,0.0
Salmonella spp,0.0
Raoultella terrigena,0.0
Raoultella spp,0.0
Streptococcus equi,0.0
Streptococcus gallolyticus,0.0
Pseudomonas stutzeri,0.0
Pseudomonas stewartii,0.0
Pseudomonas spp,0.0
Pseudomonas putida,0.0
Streptococcus mitis,0.0
Pseudomonas pseudoalcaligenes,0.0
Streptococcus gordonii,0.0
Pseudomonas otitidis,0.0
Streptococcus intermedius,0.0
Streptococcus lutetiensis,0.0
Pseudomonas nitroreducens,0.0
Pseudomonas mosselii,0.0
Streptococcus massiliensis,0.0
Achromobacter insolitus,0.0
Haemophilus spp,0.0
Klebsiella rhinoscleromatis,0.0
Bacteroides capsillosis,0.0
Bacteroides merdeae,0.0
Bacteroides massiliensis,0.0
Bacteroides intestinalis,0.0
Bacteroides fragilis,0.0
Bacteroides faecis,0.0
Bacteroides eggerthii,0.0
Bacteroides dorei,0.0
Bacteroides coagulans,0.0
Bacteroides cellulosilyticus,0.0
Bacteroides caccae,0.0
Anaerococcus hydrogenalis,0.0
Bacteroides bivius,0.0
Bacillus spp,0.0
Anaerovorax spp,0.0
Anaerococcus vaginalis,0.0
Anaerococcus tetradius,0.0
Anaerococcus spp,0.0
Anaerococcus prevotii,0.0
Anaerococcus octavius,0.0
Anaerococcus murdochii,0.0
Bacteroides nordii,0.0
Bacteroides ovatus,0.0
Bacteroides pyogenes,0.0
Bacteroides salersyae,0.0
"Citrobacter, non-speciated",0.0
Citrobacter youngae,0.0
Citrobacter werkmanii,0.0
Citrobacter murliniae,0.0
Citrobacter gillenii,0.0
Citrobacter diversus,0.0
Campylobacter ureolyticus,0.0
Burkholderia spp,0.0
Burkholderia cepacia,0.0
Burkholderia cenocepacia,0.0
Bordetella trematum,0.0
Bordetella spp,0.0
Bacteroides xylanolyticus,0.0
Bacteroides vulgatus,0.0
Bacteroides uniformis,0.0
Bacteroides thetaiotaomicron,0.0
Bacteroides stercosis,0.0
Bacteroides spp,0.0
Bacteroides splanchnicus,0.0
Anaerococcus lactolyticus,0.0
Alcaligenes faecalis,0.0
Clostridioides spp,0.0
Acinetobacter dispersus,0.0
Acinetobacter lwoffii,0.0
Acinetobacter lactucae,0.0
Acinetobacter junii,0.0
Acinetobacter johnsonii,0.0
Acinetobacter indicus,0.0
Acinetobacter haemolyticus,0.0
Acinetobacter gyllenbergii,0.0
Acinetobacter guillouiae,0.0
Acinetobacter gandensis,0.0
Acinetobacter dijkshoorniae,0.0
Aeromonas veronii,0.0
Acinetobacter courvalinii,0.0
Acinetobacter colistiniresistens,0.0
Acinetobacter calcoaceticus,0.0
Acinetobacter bereziniae,0.0
Acinetobacter beijerinckii,0.0
Acinetobacter baylyi,0.0
Acinetobacter anitratus,0.0
Acinetobacter alcaligenes,0.0
Acidaminococcus fermentans,0.0
Acinetobacter modestus,0.0
Acinetobacter nosocomialis,0.0
Acinetobacter parvus,0.0
Acinetobacter pitii,0.0
Aeromonas spp,0.0
Aeromonas hydrophila,0.0
Aeromonas caviae,0.0
Aerococcus viridans,0.0
"Acinetobacter, non-speciated",0.0
Acinetobacter vivianii,0.0
Acinetobacter venetianus,0.0
Acinetobacter variabilis,0.0
Acinetobacter ursingii,0.0
Acinetobacter towneri,0.0
Acinetobacter tjernbergiae,0.0
Acinetobacter tandoii,0.0
Acinetobacter spp,0.0
Acinetobacter soli,0.0
Acinetobacter seifertii,0.0
Acinetobacter schindleri,0.0
Acinetobacter radioresistens,0.0
Acinetobacter pseudolwoffii,0.0
Acinetobacter proteolyticus,0.0
Clostridioides difficile,0.0
Clostridium aldenense,0.0
Klebsiella planticola,0.0
Enterococcus casseliflavus,0.0
Enterococcus raffinosus,0.0
Enterococcus mundtii,0.0
Enterococcus malodoratus,0.0
Enterococcus hirae,0.0
Enterococcus gallinarum,0.0
Enterococcus flavescens,0.0
Enterococcus faecium,0.0
Enterococcus faecalis,0.0
Enterococcus durans,0.0
Enterococcus canintestini,0.0
Enterobacter intermedium,0.0
Enterococcus avium,0.0
Enterococcus Group D,0.0
Enterocloster clostridioformis,0.0
Enterocloster citroniae,0.0
Enterocloster bolteae,0.0
Enterocloster aldenensis,0.0
Enterobacter taylorae,0.0
Enterobacter sakazakii,0.0
Enterobacter ludwigii,0.0
Enterococcus spp,0.0
"Enterococcus, non-speciated",0.0
Escherichia fergusonii,0.0
Escherichia hermanii,0.0
Klebsiella ozaenae,0.0
Klebsiella ornithinolytica,0.0
Hungatella spp,0.0
Hungatella hathewayi,0.0
Hungatella effluvii,0.0
Hafnia alvei,0.0
Achromobacter xylosoxidans,0.0
Haemophilus pittmaniae,0.0
Haemophilus parainfluenzae,0.0
